id,name,company_id,amount,status,created_at,paid_at
e5d1753fba0521d5e49a306223f8d775ee4f6c1f,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,184.85,paid,2019-01-25 00:00:00+00:00,2019-01-25 00:00:00+00:00
ecce0117d9b8846f4417dc6d716bfea654dc7a92,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,192.69,voided,2019-03-05 00:00:00+00:00,
1acd5c1a46cf1e7ca20bd45db843257a4364e57f,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,123.62,paid,2019-01-24 00:00:00+00:00,2019-01-24 00:00:00+00:00
d272273e66dbc3350cb4db4bf565ffec84da957c,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,316.55,paid,2019-03-08 00:00:00+00:00,2019-03-08 00:00:00+00:00
108ab42149b5368b351b373e20048d88e20db66c,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,139.47,refunded,2019-03-22 00:00:00+00:00,2019-03-22 00:00:00+00:00
e65210af1c0e84c5f96127e5b8396f1ccb40e624,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,66.79,paid,2019-02-13 00:00:00+00:00,2019-02-13 00:00:00+00:00
7d4cabed15cf8f9fb1ef97cfb12c728b5bb13517,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,59.82,paid,2019-04-20 00:00:00+00:00,2019-04-20 00:00:00+00:00
9bc9843711ac080c641ce683994ade1c6d70b0d8,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.00,pending_payment,2019-01-19 00:00:00+00:00,
b8013563c943297dfb6c285c7fff31e7ddf1be81,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,63.34,pending_payment,2019-03-21 00:00:00+00:00,
53c1ac6f79dc7df9d3e831b5f57bddc39e1bdfc6,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.00,voided,2019-03-24 00:00:00+00:00,
9958736d1c6208edb8bafa42116dcb2e435d95ac,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,159.65,paid,2019-01-30 00:00:00+00:00,2019-01-30 00:00:00+00:00
fc859a2d73dc7dd99a6d6448390eab881f67c49d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.00,voided,2019-02-15 00:00:00+00:00,
e081d8c1612d8e65f939fd388ce7c67483b2d243,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,17.84,paid,2019-02-18 00:00:00+00:00,2019-02-18 00:00:00+00:00
3babe46955cb6ba114694745203e3dec9eceecc6,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,31.20,paid,2019-01-10 00:00:00+00:00,2019-01-10 00:00:00+00:00
27c860332b2a9909c2469ad75c95b710f7e761f2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,126.96,paid,2019-03-26 00:00:00+00:00,2019-03-26 00:00:00+00:00
1519e43f90d907d294377fbc81124b156d92f18b,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,36.79,voided,2019-05-16 00:00:00+00:00,
9b71088fbd2242c1f1a83d50032ac412b2b40aab,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,26.81,paid,2019-04-05 00:00:00+00:00,2019-04-05 00:00:00+00:00
ae1d8e0f0e85fc6d11180563a55c8821df091ad9,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,156.46,voided,2019-03-02 00:00:00+00:00,
ec79a21ef969c7fc6beef080ff56baf0aeeca8b5,,cbf1c8b09cd5b549416d49d220a40cbd317f952e,112.52,paid,2019-02-14 00:00:00+00:00,2019-02-14 00:00:00+00:00
